id,Position,Track Name,Artist
1,1,I Will Always Love You,Dolly Parton
2,2,Jolene,Dolly Parton
3,3,9 to 5,Dolly Parton
4,4,Islands In the Stream,Dolly Parton & Kenny Rogers
5,5,Here You Come Again,Dolly Parton
6,6,Coat of Many Colors,Dolly Parton
7,7,When I Get Where I'm Going (feat. Dolly Parton),Brad Paisley
8,8,Choosin' Texas,Ella Langley
9,9,There Was Jesus,Zach Williams & Dolly Parton
10,10,Hard Candy Christmas,Dolly Parton
11,11,Two Doors Down,Dolly Parton
12,12,Why'd You Come In Here Lookin' Like That,Dolly Parton
13,13,I Will Always Love You,Whitney Houston
14,14,God Only Knows,for KING & COUNTRY & Dolly Parton
15,15,Boston,STELLA LEFTY
16,16,"Light of a Clear Blue Morning (feat. Lainey Wilson, Miley Cyrus, Queen Latifah & Reba McEntire)",Dolly Parton
17,17,Day Tripper (Songwriting Work Tape),The Beatles
18,18,If You Hadn’t Been There,Dolly Parton
19,19,Let It Be (feat. Paul McCartney & Ringo Starr),Dolly Parton
20,20,Shine,Dolly Parton
21,21,Light of a Clear Blue Morning,Dolly Parton
22,22,He's Alive,Dolly Parton
23,23,Eagle When She Flies,Dolly Parton
24,24,After the Gold Rush,"Dolly Parton, Linda Ronstadt & Emmylou Harris"
25,25,Rockin' Years,Dolly Parton & Ricky Van Shelton
26,26,Hey Mom,Diane Butler
27,27,My Tennessee Mountain Home,Dolly Parton
28,28,Fatal Paradox,Hatebreed
29,29,Love Is Like a Butterfly,Dolly Parton
30,30,Powerful Women,Pitbull & Dolly Parton
31,31,Wrecking Ball (feat. Miley Cyrus),Dolly Parton
32,32,Been By Now,Morgan Wallen
33,33,Mama He’s Crazy,Lainey Wilson & Dolly Parton
34,34,serena joy,Olivia Rodrigo
35,35,Babydoll,Jamie Miller
36,36,Insignificant Other,Queens of the Stone Age
37,37,I Will Always Love You,Dolly Parton
38,38,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift
39,39,I Can't Love You Anymore,Ella Langley & Morgan Wallen
40,40,Be Her,Ella Langley
41,41,Wildflowers,"Dolly Parton, Linda Ronstadt & Emmylou Harris"
42,42,World On Fire,Dolly Parton
43,43,HOW TO SAVE A LIFE,Sam Tompkins
44,44,One More,County Line Glow
45,45,You're the Only One,Dolly Parton
46,46,you look like you love me,Ella Langley & Riley Green
47,47,Those Memories of You,"Dolly Parton, Linda Ronstadt & Emmylou Harris"
48,48,I Choose Me,Sadie Barlow
49,49,Kyrie,Mr. Mister
50,50,But You Know I Love You,Dolly Parton
